step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
59,30,18,109146.31839273902,0.9856437066885555,102.685634212666,135.54339747458988,1.771795383016311,2.0960013181704156,0,0,0,0,0
60,30,18,109198.42207929879,0.9861142280172559,103.47987238389034,134.32811418253266,1.771795383016311,2.0960013181704156,0,0,0,0,0
61,30,18,109245.40739941638,0.9865385280372896,104.27468655600404,133.10203743331124,1.771795383016311,2.0960013181704156,0,0,0,0,0
62,30,18,109287.52513929529,0.9869188714685927,105.07498165572254,131.87478420512727,1.771795383016311,2.0960013181704156,0,0,0,0,0
63,28,18,109325.42441805798,0.9872611201687831,106.47870459455042,132.06050004052346,1.7681807227001938,2.0960013181704156,0,0,2,0,2
64,28,18,109364.85903401073,0.9876172337016249,107.2931266533872,130.84856325291565,1.7681807227001938,2.0960013181704156,0,0,0,0,0
65,28,18,109400.38846184706,0.9879380815090892,108.10725425340014,129.60845213394433,1.7681807227001938,2.0960013181704156,0,0,0,0,0
66,27,18,109432.1459290998,0.9882248666998219,109.31948008427149,129.7901129297569,1.7654179598197157,2.0960013181704156,0,0,1,0,1
67,27,18,109463.31665981324,0.9885063533776413,110.15521291348196,128.57411061610003,1.7654179598197157,2.0960013181704156,0,0,0,0,0
68,27,18,109491.04072630203,0.9887567150211752,106.38337994507194,129.5728999927303,1.757235668012512,2.0960013181704156,1,0,1,0,1
69,27,18,109515.25557537482,0.9889753867450453,107.24105862769933,128.34475880988575,1.757235668012512,2.0960013181704156,0,0,0,0,0
70,27,18,109536.70022394088,0.9891690422270857,108.10161640898635,127.16348156470973,1.757235668012512,2.0960013181704156,0,0,0,0,0
71,27,18,109555.63480901648,0.9893400306295655,108.96368325025723,125.94695149766838,1.757235668012512,2.0960013181704156,0,0,0,0,0
72,27,18,109572.00309962111,0.9894878441597083,109.8324532650248,124.74777375301571,1.757235668012512,2.0960013181704156,0,0,0,0,0
73,27,18,109586.40862259289,0.9896179329548941,110.69959952338029,123.53454064464219,1.757235668012512,2.0960013181704156,0,0,0,0,0
74,27,18,109598.58233020178,0.9897278673848269,111.57595587904254,122.33203069741138,1.757235668012512,2.0960013181704156,0,0,0,0,0
75,27,18,109608.85343120393,0.9898206203627798,112.45820055688364,121.11692549395161,1.757235668012512,2.0960013181704156,0,0,0,0,0
76,27,18,109617.49166054091,0.9898986277248999,113.34241974166405,119.93023235938384,1.757235668012512,2.0960013181704156,0,0,0,0,0
77,27,18,109624.8157695776,0.9899647679491916,114.22516349414782,118.76147582794955,1.757235668012512,2.0960013181704156,0,0,0,0,0
78,27,18,109630.66093169156,0.990017552572045,115.1123543572797,117.54720347802942,1.757235668012512,2.0960013181704156,0,0,0,0,0
79,26,18,109634.96258210993,0.9900563985425338,115.87147126472956,118.24665731026587,1.7535184189594588,2.0960013181704156,0,0,1,0,1
80,26,18,109641.08381721731,0.9901116762371881,116.76925326873365,117.00654619129455,1.7535184189594588,2.0960013181704156,0,0,0,0,0
81,26,18,109645.79386135456,0.9901542101992169,117.67164670042396,115.77819747501258,1.7535184189594588,2.0960013181704156,0,0,0,0,0
82,26,17,109649.90811384158,0.9901913638763292,118.56215505839154,118.14896415007291,1.7535184189594588,2.0923205924146218,0,0,0,1,0
83,26,17,109652.69643630172,0.9902165437681069,119.45694292051978,116.93825610930298,1.7535184189594588,2.0923205924146218,0,0,0,0,0
84,26,17,109654.59672918184,0.9902337043260233,120.35387293917688,115.73803962085017,1.7535184189594588,2.0923205924146218,0,0,0,0,0
85,25,17,109655.40613061379,0.9902410136099217,121.02235228870578,116.93994181790991,1.7468471588156265,2.0923205924146218,0,0,1,0,1
86,25,17,109658.0217091815,0.9902646335413364,121.87176901444863,115.74560429925106,1.7468471588156265,2.0923205924146218,0,0,0,0,0
87,26,18,109659.58959439135,0.9902787922982479,117.00573015389942,106.71455790568004,1.7516389062704978,2.106702999267081,1,1,0,0,0
88,26,18,109657.81553875646,0.9902627717233207,117.85638802975899,105.5336533230237,1.7516389062704978,2.106702999267081,0,0,0,0,0
89,26,18,109655.68187400549,0.9902435037052606,118.69971469610238,104.30894477131852,1.7516389062704978,2.106702999267081,0,0,0,0,0
90,26,18,109652.68071288688,0.9902164017781148,119.54886772952963,103.08217178599014,1.7516389062704978,2.106702999267081,0,0,0,0,0
91,25,18,109648.99753058274,0.99018314087191,120.42815530713511,104.5984211835518,1.748652866992,2.106702999267081,0,0,1,0,1
92,25,18,109648.15751534169,0.9901755551306036,121.27602366429639,103.37106835475208,1.748652866992,2.106702999267081,0,0,0,0,0
93,26,19,109646.4479083184,0.9901601165576107,116.38826002889265,95.40181455025497,1.7493087705063113,2.1093863086829905,1,1,0,0,0
94,26,19,109641.1069580868,0.9901118852103602,117.20360972615934,94.17219665098536,1.7493087705063113,2.1093863086829905,0,0,0,0,0
95,26,19,109635.59642074036,0.9900621224099655,118.0027283512323,92.97109113166965,1.7493087705063113,2.1093863086829905,0,0,0,0,0
